Sort_Order,Project,Sample_Owner,Panel,Specimen_Type,Specimen_Media,Ext_Lab,Ext_Operator,Ext_Method,Ext_Date,gDNA_Plate_ID,gDNA_Well_ID,Assay_Lab,Assay_Operator,Assay_Start_Date,Assay_Batch_Code,Assay_Plate_Code,Assay_Well_ID,Owner_Sample_ID,BC1,BC2
1,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A1,Sample_1,A49,P01
2,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B1,Sample_2,A50,P01
3,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C1,Sample_3,A51,P01
4,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D1,Sample_4,A52,P01
5,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E1,Sample_5,A53,P01
6,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F1,Sample_6,A54,P01
7,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G1,Sample_7,A55,P01
8,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H1,Sample_8,A56,P01
9,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A2,Sample_9,A49,P02
10,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B2,Sample_10,A50,P02
